规则项id,是否启用,风险程度,关键词,检查项,审查要求,审查说明
PA-NODE-002,启用,中,"分期支付,延期付款,利息,转让方保护",审查分期支付安排是否与股权交付/登记节点挂钩,分期支付的节点应至少与签约、股东名册变更、工商变更登记三个里程碑挂钩。,基于专业知识补充。付款与登记脱节会导致一方承担无保护空窗期。
PA-NODE-003,启用,中,"付款节点,股东名册变更,登记,衔接",审查付款节点与股权登记节点是否协调一致,"应设计""定金→名册变更→付款→工商登记→尾款""的递进流程。",基于专业知识补充。
PA-TAX-001,启用,中,"印花税,所得税,税费承担,股权转让税费",审查股权转让协议是否明确各类税费的承担方,必须明确约定印花税（各万分之五）、个人所得税/企业所得税（转让方承担）的承担方及申报义务。,基于专业知识补充。
PA-INV-001,启用,中,"催缴出资,宽限期,出资日期,违约责任",审查出资协议中的出资时间表和催缴机制是否合规,股东出资协议必须包含明确的出资时间表；催缴通知的宽限期不得少于60日。,据公司法第52条，催缴宽限期不得少于60日。
PA-INV-002,启用,高,"非货币出资,评估不足,连带责任,出资不实",审查非货币财产出资是否经合法评估,非货币财产出资必须取得合法评估机构出具的评估报告；评估基准日距离出资日不得超过6个月。,据公司法第88条和司法解释三第11条。
PA-INV-003,启用,中,"股权出资,权属清楚,权能完整,评估",审查以股权出资是否符合四个法定要件,以股权出资须同时满足：合法持有且可转让、无瑕疵、已完成法定手续、已合法评估。,据公司法司法解释三第11条。
PA-PRC-001,启用,低,"优先购买权,转让股东反悔,损害赔偿,交易信赖",审查是否约定了转让方反悔时的信赖利益赔偿,可以设置意向金/定金条款（不超过20%）；转让方反悔的须双倍返还。,据公司法司法解释四第20条。
PA-PRC-002,启用,中,"利润分配请求权,分配方案,股东决议,司法救济",审查股东协议中利润分配的决定机制,明确利润分配方案的表决程序（普通/特别决议）和分配时间。,据公司法司法解释四第14/15条。
PA-PRC-003,启用,中,"对价调整,锁箱机制,交割账户,净资产",审查股权转让价款是否设置了对价调整机制,常见调整机制有两种：锁箱机制（以基准日财务报表锁定价格）和交割账户机制（交割后按实际净资产调整）。,基于专业知识补充。建议根据交易规模和谈判地位选择。
PA-CAP-001,启用,中,"利润分配,股权回购,退出机制,异议股东",审查利润分配条款是否明确分红条件、比例和时间,连续五年盈利不分配利润将触发异议股东的法定回购权。,据公司法第89条。建议在章程中约定年度分红比例。
PA-CAP-002,启用,中,"减资,退出,股权价值,减少注册资本",审查股东退出安排是否与减资程序协调,以减资方式退出须明确：触发条件、退出价格确定方法、债权人通知程序。,基于专业知识补充。减资需履行债权人通知和公告程序。
PA-INT-001,启用,中,"国有股权,价款支付,付款条件,审批程序",审查国有股权转让是否履行评估和审批程序,涉及国有股权转让的，须取得国资监管机构的批准文件，并经资产评估机构评估。,据国有股权转让管理办法第21条。
PA-GUA-001,启用,低,"支付担保,股权质押,保证,监管账户",审查转让方是否能获得分期付款担保,分期付款的可要求将受让股权质押作为付款担保，或要求第三方保证。,基于专业知识补充。建议在付清全款前保留担保措施。
PA-INT-002,启用,低,"延期付款,逾期利息,违约金,分期付款",审查延期付款的违约责任是否明确,未约定逾期付款利息或违约金时，守约方损失证明困难；建议约定逾期付款按日万分之X计算违约金，逾期超过X日转让方有权解除协议。,基于专业知识补充。建议设定明确的逾期违约金标准和解除权触发期限。
BR-FEE-001,启用,高,"出资义务,不因转让免除,原股东责任,公司追缴",审查转让协议是否明确转让方出资义务不受影响,转让方未履行出资义务的，即使股权已转让，公司仍可追缴。,据公司法司法解释三第18条。
BR-FEE-002,启用,高,"抽逃出资,受让人知情,最终责任,减资程序",审查受让方是否对抽逃出资做了尽调,明知抽逃仍按实际资本定价的，最终责任由受让人承担。,据法答网精选答问。
BR-FEE-003,启用,高,"出资不足连带,转让人,受让人,善意例外",审查受让人是否核查了出资真实情况,受让人知道或应当知道出资不足仍受让的，在出资不足范围内承担连带责任。,据公司法第88条第2款。
BR-FEE-004,启用,中,"赔偿上限,basket,起赔额,赔偿责任限制",审查赔偿上限和起赔门槛是否合理,受让方应争取欺诈情形排除上限适用，赔偿上限不低于交易对价100%。,基于专业知识补充。
BR-FEE-005,启用,中,"违约金过高,司法调整,实际损失,合理标准",审查违约金是否可能被调减,超过实际损失30%的违约金可能被法院调减。,据民法典第585条。建议设置阶梯式违约金。
BR-DMG-001,启用,高,"优先购买权,侵害救济,除斥期间,30日,1年",审查转让程序是否完整履行了通知义务,转让股东必须保留完整的书面通知证据链；未通知的可在30日/1年内主张。,据公司法司法解释四第21条。
BR-DMG-002,启用,中,"优先购买权,受让人救济,合同目的不能实现,民事责任",审查是否有优先购买权障碍的承诺,协议中须包含转让方保证已完整履行通知义务，违反的赔偿受让方全部损失。,据公司法司法解释四第21条第3款。
BR-DMG-003,启用,中,"陈述与保证,财务报表,诉讼风险,合规,IP",审查陈述与保证是否覆盖核心风险,应覆盖：财务真实、无未披露诉讼、合规经营、IP权属、无未披露担保。,基于专业知识补充。
BR-DMG-004,启用,中,"协议解除,恢复原状,股权返还,价款返还",审查协议解除后的恢复原状义务,明确：股权返还期限、价款返还是否含息、期间损益归属、费用承担。,基于专业知识补充。
BR-DMG-005,启用,中,"陈述保证违约,违约责任竞合,双重追责",审查陈述保证违约与一般违约责任的关系,两种救济可以并行但赔偿总额不超过约定上限。,基于专业知识补充。
BR-TERM-001,启用,中,"公司僵局,解散诉讼,10%表决权,退出机制",审查是否包含公司僵局预防和解决机制,预设分级机制：协商→调解/专家裁决→buy-sell/德州枪手。,据公司法司法解释二第1条和公司法第231条。
BR-TERM-002,启用,中,"异议股东回购,公司合并,主要财产转让,退出机制",审查重大交易的异议股东保护机制,合并/分立/主要财产转让时须通知异议股东可在股东会上投反对票。,据公司法第89条。
BR-TERM-003,启用,中,"失权股权,转让或注销,其他股东补缴,6个月",审查失权股权的处置规则,失权股权应在6个月内处置，否则其他股东按出资比例缴纳。,据公司法第52条第2款。
BR-TERM-004,启用,高,"股东资格解除,未出资,抽逃全部出资,股东会决议",审查股东资格解除的程序是否合规,仅限未出资或抽逃全部出资情形；须经催缴→宽限期(≥60日)→股东会决议。,据最高法院答疑。
BR-EXIT-001,启用,高,"违法分配利润,退还,赔偿,董事高管责任",审查利润分配是否合规,分配前确认：弥补亏损→提取10%法定公积金→股东会决议。,据公司法第211条。
BR-VAM-001,启用,高,"对赌协议,估值调整,VAM,股份回购,减资",审查对赌条款的效力,与股东对赌有效；与公司对赌须完成减资程序方可执行。,据九民纪要。将对赌义务主体设为股东而非公司。
BR-REP-001,启用,高,"股权回购,履行不能,减资程序,利润不足",审查股权回购是否存在履行障碍,公司回购受资本维持原则约束；建议将回购义务主体设定为其他股东。,基于专业知识补充。设置多重退出路径。
BR-NON-001,启用,中,"竞业限制,退出股东,经济补偿,同业竞争",审查退出股东的竞业限制条款,竞业限制期限不超过2年；涉及高管/核心技术人员的应支付经济补偿。,据劳动合同法第23条。股东协议中的竞业限制也建议合理补偿。
BR-OPP-001,启用,中,"股东压迫,权利滥用,小股东保护,回购",审查大股东是否存在滥用权利情形,控股股东滥用权利严重损害其他股东利益的，受害股东可请求公司回购。,据公司法(2023)第21条和第89条第3款。
BR-BRK-001,启用,中,"分手费,反向分手费,监管审批,终止补偿",审查分手费/反向分手费条款,大额交易应双向设置分手费（通常为交易对价的3%-5%）。,基于专业知识补充。
IP-CAP-001,启用,中,"知识产权出资,专利,商标,著作权,评估",审查IP出资的评估程序,须完成：权属证明、有效期内、合法评估、可依法转让。,据公司法司法解释三第11条。
IP-CAP-002,启用,中,"知识产权维护,年费,续展,出资后义务",审查IP出资后维护义务,明确年费/续展费承担方；失效后的补足义务。,基于专业知识补充。
IP-CAP-003,启用,高,"知识产权侵权,侵权风险,目标公司,赔偿责任",审查目标公司是否存在IP侵权风险,受让前核查核心产品是否侵犯第三方IP；是否收到侵权警告函。,基于专业知识补充。
IP-CAP-004,启用,中,"技术入股,后续改进,权利归属,职务发明",审查技术入股后改进成果归属,清晰界定入股技术范围；后续改进归公司/技术方/共有。,基于专业知识补充。
IP-CAP-005,启用,高,"权利瑕疵担保,知识产权,第三方侵权,出资人保证",审查IP出资的瑕疵担保,出资人保证IP独立开发或合法受让；第三方索赔由出资人承担。,基于专业知识补充。
IP-CAP-006,启用,中,"源代码出资,交付标准,使用许可,软件著作权",审查源代码出资的交付和验收,明确交付代码版本、验收测试、使用权范围、后续升级义务。,基于专业知识补充。
IP-CAP-007,启用,高,"专利到期,商标续展,出资价值变化,补足责任",审查出资IP有效期限,出资后IP失效的视为出资不实，出资人应现金补足。,基于专业知识补充。
IP-OWN-001,启用,中,"职务发明,权属核查,专利,商标,著作权",审查目标公司核心IP权属,核查发明人与公司的IP归属约定；委托/共同开发的合同约定。,基于专业知识补充。
IP-LIC-001,启用,中,"许可协议,被许可人,控制权变更,转让影响",审查IP许可协议是否含COC条款,股权转让可能触发许可协议的控制权变更条款导致许可终止。,基于专业知识补充。
IP-COOP-001,启用,中,"共同开发,合作研发,权属共有,利益分配",审查合作开发IP的权属约定,共有IP的转让/许可须经全体共有人同意。,据民法典第860条和专利法第15条。
IP-OSS-001,启用,高,"开源软件,GPL,许可证合规,源代码披露,传染性",审查目标公司开源软件使用合规性,GPL等传染性许可证可能要求公开核心源代码。,基于专业知识补充。要求提供软件物料清单(SBOM)。
IP-EXP-001,启用,高,"技术进出口,管制,限制出口,审批,目录",审查核心技术是否涉及技术出口管制,涉及《中国禁止出口限制出口技术目录》范围的，须取得许可。,基于专业知识补充。
IP-TM-001,启用,中,"商标,注册,防御商标,使用证据,撤三",审查核心商标注册和使用情况,连续三年不使用可被撤销。核查使用证据。,据商标法第49条。
IP-EMP-001,启用,低,"离职,知识产权返还,保密信息,竞业限制",审查退出股东的知识产权返还义务,退出时须返还技术资料、源代码等。,基于专业知识补充。
IP-PLD-001,启用,低,"知识产权质押,担保融资,处置限制,权利人变更",审查IP质押对转让的限制,已质押IP的转让须经质权人同意。,基于专业知识补充。
CF-SCP-001,启用,中,"保密义务,尽职调查,敏感信息,股权交易",审查保密信息定义范围,分类列举保密信息：财务数据、商业计划、客户/供应商信息、技术资料。,基于专业知识补充。
CF-SCP-002,启用,中,"代持协议,信息隔离,保密,名义股东",审查代持协议的保密安排,名义股东不得泄露实际出资人身份；违反保密构成解除条件。,基于专业知识补充。
CF-SCP-003,启用,中,"投资人保密,信息隔离,竞争股东,防火墙",审查竞争股东之间的信息隔离,设置Chinese Wall条款限制竞争股东接触敏感信息。,基于专业知识补充。
CF-TERM-001,启用,低,"退出股东,保密义务延续,竞业禁止,退出机制",审查退出股东保密义务的延续,保密义务不因股权退出而终止；一般信息3-5年，核心商业秘密永久。,基于专业知识补充。
CF-VIO-001,启用,中,"保密违约联动,交易中断,赔偿,责任竞合",审查保密违约的独立赔偿,保密违约赔偿独立于一般违约责任，不适用赔偿上限。,基于专业知识补充。
CF-VIO-002,启用,中,"不挖角,不招揽,禁止接触,员工,客户",审查退出后的不挖角条款,退出后1-2年内不得招揽员工、客户。,基于专业知识补充。
CF-EXC-001,启用,低,"保密例外,强制披露,监管要求,法庭命令",审查保密例外是否合理,限定例外范围并要求提前通知。,基于专业知识补充。
CF-NDA-001,启用,低,"保密协议,NDA,谈判阶段,效力延续",审查交易前NDA与正式协议的关系,正式协议中明确交易前NDA是否被替代或延续。,基于专业知识补充。
CF-END-001,启用,低,"保密义务终止,信息解密,退出股东,公开信息",审查保密义务终止条件,不得因协议终止而自动终止。按信息类型分设保密期限。,基于专业知识补充。
CF-RE-001,启用,中,"反向工程,破解,反编译,技术保护措施",审查是否禁止反向工程,明确禁止对目标公司产品/软件进行反向工程。,基于专业知识补充。
CF-RET-001,启用,中,"信息返还,安全销毁,数据清除,书面证明",审查交易终止后的信息处理,终止后30日内返还/销毁所有保密信息并出具书面证明。,基于专业知识补充。
CF-PEN-001,启用,中,"保密违约金,约定赔偿,损失倍数,泄密赔偿",审查保密违约金的威慑力,约定按泄密所获利润或交易金额的X%计算；不影响损害赔偿。,基于专业知识补充。
CF-DD-001,启用,中,"虚拟数据室,VDR,尽调保密,副本控制",审查尽调阶段的保密管理,使用VDR管理信息访问权限，限制下载和打印，追踪访问日志。,基于专业知识补充。
CF-NON-001,启用,低,"保密义务,竞业限制,并行适用,独立义务",审查保密义务与竞业限制的关系是否明确,保密义务和竞业限制是两个独立的法律义务；竞业限制到期后保密义务仍继续有效。,基于专业知识补充。明确两者相互独立。
DR-JUR-001,启用,中,"仲裁,诉讼,选择,保密性,一裁终局",审查争议解决方式的选择,代持纠纷/治理纠纷建议仲裁（保密、高效）；转让纠纷可诉讼或仲裁。,基于专业知识补充。
DR-JUR-002,启用,中,"代持争议,合同约定,投资权益,内部纠纷",审查代持协议的管辖约定,必须明确仲裁机构或管辖法院。,据公司法司法解释三第24条。
DR-LIM-001,启用,高,"除斥期间,30日,1年,优先购买权诉讼",审查除斥期间的影响,优先购买权主张有严格的30日/1年除斥期间；过期失权。,据公司法司法解释四第21条。
DR-LIM-002,启用,中,"诉讼策略,确认无效,同时主张购买,司法实践",审查诉讼请求是否充分,必须同时主张按同等条件购买，仅确认无效不支持的。,据公司法司法解释四第21条第2款。
DR-PROC-001,启用,中,"解散公司诉讼,10%表决权,僵局替代机制",审查是否预设替代司法解散的机制,预设分级僵局解决：协商→调解/专家裁决→buy-sell/德州枪手。,据公司法第231条。
DR-PROC-002,启用,中,"强制执行,优先购买权,20日,司法拍卖",审查强制执行的通知机制,公司收到法院通知后24小时内通知全体股东。,据公司法第85条。
DR-PROC-003,启用,中,"同等条件,数量,价格,支付方式,期限",审查同等条件要素是否完整,逐项列明数量、单价/总价、支付方式、支付期限。,据公司法司法解释四第18条。
DR-PROC-004,启用,低,"变更登记诉讼,公司怠于办理,救济,董事责任",审查变更登记诉讼机制,明确办理时限和公司迟延的赔偿责任。,据公司法第86条。
DR-ENF-001,启用,中,"善意取得,名义股东处分,举证,第三人保护",审查代持协议中的证据保全,保存实际出资人与名义股东的书面记录；股权质押给实际出资人。,据最高法院答疑。
DR-ENF-002,启用,中,"破产,管理人处分,股权转让,出资追缴",审查破产场景的影响,管理人可追缴未届期限的出资。,据企业破产法司法解释二第20条。
DR-ENF-003,启用,中,"善意取得,登记对抗,举证责任,二重处分",审查二重处分的责任分配,受让人有过失的减轻原股东赔偿责任。,据公司法司法解释三第27条。
DR-ARB-001,启用,中,"仲裁条款独立性,代持协议,股东协议",审查仲裁条款的独立性,明确仲裁条款独立于协议其他条款，协议无效不影响仲裁条款。,基于专业知识补充。
DR-INT-001,启用,中,"涉外商事仲裁,SIAC,HKIAC,CIETAC",审查涉外仲裁机构选择,建议HKIAC或SIAC，裁决可在170+纽约公约国执行。,基于专业知识补充。
DR-DER-001,启用,低,"股东派生诉讼,代表诉讼,前置程序,监事会",审查派生诉讼的前置程序,先书面请求监事会/董事起诉，拒绝或30日不回复后方可自行起诉。,据公司法(2023)第189条。
DR-DIR-001,启用,低,"股东直接诉讼,知情权,利润分配权,查阅权",审查是否设置诉前协商程序,约定诉前强制性协商或调解程序，避免直接起诉激化矛盾。,基于专业知识补充。
GR-VET-001,启用,中,"一票否决,保护性条款,投资人保护,重大事项",审查一票否决权范围,否决事项应限于重大事项：章程修改、增资/减资、合并/分立、重大资产处置、关联交易。,基于专业知识补充。范围过广影响运营效率。
GR-TAG-001,启用,中,"随售权,强售权,共同出售,拖卖权,跟随权",审查随售权和强售权条款,随售权保护小股东，强售权方便整体出售。明确行使门槛。,基于专业知识补充。
GR-AD-001,启用,中,"优先认购权,反稀释,完全棘轮,加权平均",审查反稀释条款,建议采用加权平均反稀释机制；明确反稀释的例外情形。,基于专业知识补充。
GR-PRE-001,启用,中,"优先认购权,增资认缴,认缴期限,通知方式",审查优先认购权条款,明确增资通知方式（书面+邮件）、认缴期限（不少于30日）、未认缴股权的处理。,基于专业知识补充。
GR-BRD-001,启用,中,"董事会组成,董事提名权,观察员,表决权比例",审查董事提名权和董事会组成,明确持股达到一定比例的提名权人数；董事罢免程序。,基于专业知识补充。
GR-INFO-001,启用,低,"信息权,财务报告,检查权,季度报告,审计",审查非控股股东的信息权,明确信息提供的内容和频率：月度/季度报表、年度审计报告。,基于专业知识补充。
GR-LIQ-001,启用,中,"优先清算权,清算分配,参与分配,1X,非参与分配",审查优先清算权条款,明确清算事件定义（含公司出售/控制权变更）；分配顺序。,基于专业知识补充。建议采用非参与分配或capped参与分配。
GR-NOM-001,启用,低,"董事提名,股东代表,职工董事,独立董事",审查特定股东的董事提名权,约定持有特定比例（建议10%以上）股权的股东有权提名董事。,基于专业知识补充。
